ground
"7he Sevens Stadium, Dubai"
"Harlequins, Pretoria"
"Harrup Park, Mackay"
"Haslegrave Ground, Loughborough"
"Hazelaarweg, Rotterdam"
"Headingley, Leeds"
"Himachal Pradesh Cricket Association Stadium, Dharamsala"
"Himachal Pradesh Cricket Association Stadium, Dharmasala"
"Holkar Cricket Stadium, Indore"
Holkar Stadium
Hong Kong Cricket Club
"Hong Kong Cricket Club, Wong Nai Chung Gap"
"Howell Oval, Sydney"
"Hurlingham Club Ground, Buenos Aires"
"Hurstville Oval, Sydney"
IC-Gurunanak College Ground
"ICC Academy Ground No 2, Dubai"
"ICC Academy Oval 1, Dubai"
"ICC Academy Oval 2, Dubai"
"ICC Academy, Dubai"
"ICC Global Cricket Academy, Dubai"
"Independence Park, Port Vila"
"Indian Association Ground, Singapore"
"Indian Petrochemicals Corporation Limited Sports Complex Ground, Vadodara"
"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast"
"Integrated Polytechnic Regional Centre, Kigali City"
"International Sports Stadium, Coffs Harbour"
"Invermay Park, Launceston"
"Iqbal Stadium, Faisalabad"
JSCA International Stadium Complex
"JSCA International Stadium Complex, Ranchi"
"JU Second Campus, Salt Lake"
Jadavpur University Campus
"Jadavpur University Campus 2nd Ground, Kolkata"
"Jade Stadium, Christchurch"
"Jaffery Sports Club Ground, Nairobi"
Jawaharlal Nehru Stadium
"John Davies Oval, Queenstown"
Johor Cricket Academy Oval
"Johor Cricket Academy Oval, Johor"
"Jubilee Park, Ringwood, Melbourne"
"Junction Oval, Melbourne"
"Kaizuka Cricket Ground, Osaka"
"Kallang Ground, Singapore"
"Karen Rolton Oval, Adelaide"
"Karori Park, Wellington"
"Keenan Stadium, Jamshedpur"
Kennards Hire Community Oval
"Kennington Oval, London"
"Kensington Oval, Barbados, Bridgetown"
"Kensington Oval, Bridgetown"
"Kensington Oval, Bridgetown, Barbados"
"Kensington Oval, Bridgetown, Barbados, Bridgetown"
"Kent County Cricket Ground, Beckenham"
"Kerava National Cricket Ground, Kerava"
"Kerrydale Oval, Gold Coast"
"Khan Shaheb Osman Ali Stadium, Fatullah"
"Khettarama Stadium, Colombo"
"Kibworth Cricket Club Ground, Kibworth"
"Kibworth Cricket Club New Ground, Kibworth"
"King George V Sports Ground, Castel"
"Kingsmead, Durban"
"Kinrara Academy Oval, Kuala Lumpur"
"Kinrara Oval, Kuala Lumpur"
"Kowloon Cricket Club, Kowloon"
"Kwekwe Sports Club, Kwekwe"
"Kyambogo Cricket Ground, Kampala"
"Kyambogo Cricket Oval, Kampala"
"LC de Villiers Oval, Pretoria"
"La Manga Club Bottom Ground, Murcia"
"La Manga Club Top Ground, Murcia"
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan, Hyderabad"
"Lalabhai Contractor Stadium, Surat"
Lalbhai Contractor Stadium
"Latrobe Recreation Ground, Latrobe"
"Lavington Sports Oval, Albury"
"Lilac Hill Park, Perth"
"Lisicji Jarak Cricket Ground, Belgrade"
"Lochlands, Arbroath"
"Lord's, London"
"Lords, St David's Cricket Club Ground, Bermuda"
"Los Reyes Polo Club, Guacima"
Louth Cricket Club
"Lugogo Cricket Oval, Kampala"
"M Chinnaswamy Stadium, Bangalore"
"M Chinnaswamy Stadium, Bangalore, Bengaluru"
"M Chinnaswamy Stadium, Bengaluru"
"M.Chinnaswamy Stadium, Bengaluru"
"MA Aziz Stadium, Chattogram"
"MA Aziz Stadium, Chittagong, Chattogram"
"MA Chidambaram Stadium, Chennai"
"MA Chidambaram Stadium, Chepauk, Chennai"
"Madhavrao Scindia Cricket Ground, Rajkot"
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Mohali"
"Maharani Usharaje Trust Cricket Ground, Indore"
"Maharashtra Cricket Association Stadium, Pune"
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
Mainpower Oval
"Mainpower Oval, Rangiora"
"Malahide, Dublin"
"Malek Cricket Ground, Ajman"
"Mangaung Oval, Bloemfontein"
"Mannofield Park, Aberdeen"
"Manuka Oval, Canberra"
"Maple Leaf North-East Ground, King City"
"Maple Leaf North-West Ground, King City"
"Maple Leaf North-West Ground, Toronto"
"Maple Leaf South-West Ground, King City"
"Mardyke, Cork"
"Marrara Cricket Ground, Darwin"
"Marsa Sports Club, Marsa"
McLean Park
"McLean Park, Napier"
"Meersen, Gent, Ghent"
Melbourne Cricket Ground
"Melbourne Cricket Ground, Melbourne"
"Mercantile Cricket Association Ground, Colombo"
"Merchant Taylors' School Ground, Northwood"
"Merrion Cricket Club Ground, Dublin"
"Millfield School, Street"
"Mission Road Ground, Mong Kok, Hong Kong"
"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
"Mitchells and Butlers' Ground, Birmingham"
Moara Vlasiei Cricket Ground
"Moara Vlasiei Cricket Ground, Ilfov County"
Molyneux Park
"Molyneux Park, Alexandra"
Mombasa Sports Club Ground
"Moosa Cricket Stadium, Pearland"
"Morodok Techo National Stadium, Phnom Penh"
"Moses Mabhida Stadium, Durban"
Motibaug Cricket Ground
"Mulpani Cricket Ground, Kathmandu"
Multan Cricket Stadium
"Multan Cricket Stadium, Multan"
"Myreside, Edinburgh"
"Nahar Singh Stadium, Faridabad"
"Narayanganj Osmani Stadium, Fatullah"
"Narendra Modi Stadium Ground 'A', Motera"
"Narendra Modi Stadium, Ahmedabad"
"Nassau County International Cricket Stadium, New York"
"National Cricket Stadium, Grenada, St George's"
"National Cricket Stadium, St George's"
"National Cricket Stadium, St George's, Grenada"
"National Cricket Stadium, St George's, Grenada, St George's"
"National Sports Academy, Sofia"
"National Stadium, Hamilton"
"National Stadium, Karachi"
Nehru Stadium
"Nehru Stadium, Fatorda, Margao"
"Nehru Stadium, Guwahati"
"Nehru Stadium, Kochi"
"Nehru Stadium, Poona, Pune"
"Nehru Stadium, Pune"
Nelson Park
"Nelson Park, Napier"
"Nevill Ground, Tunbridge Wells"
"New Close County Cricket Ground, Newport, Isle-of-Wight, Newport"
"New Strabane Park, Strabane"
"New Wanderers Stadium, Johannesburg"
"New Williamfield No1 Oval, Stirling"
"Newlands, Cape Town"
"Niaz Stadium, Hyderabad, Sind"
"Nondescripts Cricket Club Ground, Colombo"
"North Dalton Park, Wollongong"
"North Marine Road Ground, Scarborough"
"North Sydney Oval No.2, Sydney"
"North Sydney Oval, Sydney"
"North West Cricket Stadium, Potchefstroom"
"North-West University No1 Ground, Potchefstroom"
"Nuriootpa Centennial Park, Nuriootpa"
"OUTsurance Oval, Bloemfontein"
"Oak Hill Cricket Club, Wicklow"
"Oakham School Ground, Oakham"
"Observatory Lane, Rathmines, Dublin"
"Old Deer Park, Richmond"
"Old Hararians Sports Club, Harare"
"Old Hararians, Harare"
"Old Trafford, Manchester"
"Ovale di Rastignano, Pianoro"
"P Sara Oval, Colombo"
"P Saravanamuttu Stadium, Colombo"
Pallekele International Cricket Stadium
"Pallekele International Cricket Stadium, Kandy"
"Pallekele International Cricket Stadium, Pallekele"
"Park 25 No 2, Adelaide"
"Pembroke Cricket Club, Sandymount, Dublin"
"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay"
Perth Stadium
"Perth Stadium, Perth"
"Peter Burge Oval, Brisbane"
"Pierre Werner Cricket Ground, Walferdange"
"Pokhara Rangasala, Pokhara"
"Prairie View Cricket Complex, Houston"
"Prem Tinsulanonda International School, Chiang Mai"
"Providence Stadium, Guyana"
"Providence Stadium, Guyana, Providence"
"Pukekura Park, New Plymouth"
"Punjab Cricket Association IS Bindra Stadium, Chandigarh"
"Punjab Cricket Association IS Bindra Stadium, Mohali"
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
"Punjab Cricket Association Stadium, Mohali, Chandigarh"
"Queen Elizabeth II Oval, Bendigo"
Queen's Park
"Queen's Park (New), St George's, Grenada, St George's"
"Queen's Park Oval, Port of Spain"
"Queen's Park Oval, Port of Spain, Trinidad"
"Queen's Park Oval, Port of Spain, Trinidad, Port of Spain"
"Queen's Park Oval, Trinidad, Port of Spain"
"Queen's Park, Chesterfield"
"Queen's Park, Invercargill"
"Queens Sports Club, Bulawayo"
Queenstown Events Centre
"Queenstown Events Centre, Queenstown"
"R Premadasa Stadium, Colombo"
"R.Premadasa Stadium, Colombo"
"R.Premadasa Stadium, Khettarama, Colombo"
"Radlett Cricket Club, Radlett"
"Rajiv Gandhi International Cricket Stadium, Dehradun"
"Rajiv Gandhi International Cricket Stadium, Dehradun, Dehra Dun"
"Rajiv Gandhi International Stadium, Hyderabad"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Rangiri Dambulla International Stadium
"Rangiri Dambulla International Stadium, Dambulla"
Rawalpindi Cricket Stadium
"Rawalpindi Cricket Stadium, Rawalpindi"
"Ray Mitchell Oval, Harrup Park, Mackay"
"Reforma Athletic Club, Naucalpan"
Reliance Cricket Stadium
"Reliance Stadium, Vadodara"
"Riverside Ground, Chester-le-Street"
"Riverway Stadium, Townsville"
"Roma Cricket Ground, Spinaceto"
"Rookwood, Sale"
"Roseworth Terrace, Gosforth"
"Royal Brunswick Ground, Hove, Brighton"
"Royal Brussels Cricket Club Ground, Waterloo"
Royal Chiangmai Golf Club
"Royal Chiangmai Golf Club, Chiang Mai"
"Royal Selangor Club, Kuala Lumpur"
"Ruaraka Sports Club Ground, Nairobi"
"Rugby School Ground, Rugby"
SSN College Ground
"Sabina Park, Jamaica, Kingston"
"Sabina Park, Kingston, Jamaica"
"Sabina Park, Kingston, Jamaica, Kingston"
San Albano
Sano International Cricket Ground
"Sano International Cricket Ground, Sano"
"Santarem Cricket Ground, Albergaria"
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad"
"Sardar Patel Stadium, Ahmedabad"
"Sardar Patel Stadium, Motera, Ahmedabad"
Saurashtra Cricket Association Stadium
"Saurashtra Cricket Association Stadium, Rajkot"
"Sawai Mansingh Stadium, Jaipur"
Saxton Oval
"Saxton Oval, Nelson"
"Scott Page Field, Vinor, Prague"
"Sea Breeze Oval, Hamilton"
"Sector 16 Stadium, Chandigarh"
"Sedbergh School, Sedbergh"
Seddon Park
"Seddon Park, Hamilton"
"Sedgars Park, Potchefstroom"
"Seebarn Cricket Centre, Lower Austria"
"Selangor Turf Club, Kuala Lumpur"
"Senwes Park, Potchefstroom"
"Severn Cricket Field, Woodley Park, Los Angeles"
"Shaheed Chandu Stadium, Bogra"
Shaheed Veer Narayan Singh International Stadium
"Shaheed Veer Narayan Singh International Stadium, Raipur"
Sharad Pawar Cricket Academy BKC
Sharjah Cricket Association Stadium
"Sharjah Cricket Association Stadium, Sharjah"
Sharjah Cricket Stadium
"Sharjah Cricket Stadium, Sharjah"
"Sheikh Abu Naser Stadium, Khulna"
"Sheikh Kamal International Cricket Stadium, Cox's Bazar"
"Sheikh Zayed Stadium Nursery 1, Abu Dhabi"
"Sheikh Zayed Stadium Nursery 2, Abu Dhabi"
"Sheikh Zayed Stadium, Abu Dhabi"
Sheikhupura Stadium
"Sher-e-Bangla National Cricket Stadium, Mirpur"
"Shere Bangla National Stadium, Dhaka"
"Shere Bangla National Stadium, Mirpur"
"Shere Bangla National Stadium, Mirpur, Dhaka"
"Sikh Union Club Ground, Nairobi"
"Simar Cricket Ground, Rome"
"Simonds Stadium, South Geelong, Victoria"
"Simonds Stadium, South Geelong, Victoria, Geelong"
"Singapore Cricket Club, Padang"
"Singapore Cricket Club, Singapore"
"Sinhalese Sports Club Ground, Colombo"
"Sinhalese Sports Club, Colombo"
"Sinovich Park, Sinoville, Pretoria"
"Sir Paul Getty's Ground, Wormsley"
"Sir Vivian Richards Stadium, Antigua, North Sound"
"Sir Vivian Richards Stadium, North Sound"
"Sir Vivian Richards Stadium, North Sound, Antigua"
"Sir Vivian Richards Stadium, North Sound, Antigua, North Sound"
"Skarpnack 1, Stockholm"
"Skarpnack 2, Stockholm"
"Sky Stadium, Wellington"
"Solvangs Park, Glostrup, Copenhagen"
"Somerset Cricket Club, Bermuda"
"Sophia Gardens, Cardiff"
"Southend Club Cricket Stadium, Karachi"
"Sportpark Duivesteijn, Voorburg"
"Sportpark Harga, Schiedam"
"Sportpark Het Schootsveld 2, Deventer"
"Sportpark Het Schootsveld, Deventer"
"Sportpark Maarschalkerweerd, Utrecht"
"Sportpark Thurlede, Schiedam"
"Sportpark Westvliet, The Hague"
"Sportpark Westvliet, Voorburg"
"Sportpark Westvliet, Voorburg, The Hague"
"Spytty Park, Newport"
Sri Ramachandra Medical College
St  Pauls college ground  Kalamassery
"St Albans Club, Buenos Aires"
"St George's Park, Gqeberha"
"St George's Park, Port Elizabeth"
"St George's Park, Port Elizabeth, Gqeberha"
St Georges Quilmes
"St Helen's, Swansea"
"St Lawrence Ground, Canterbury"
St'Xavier's KCA Cricket Ground
"Stadium Australia, Sydney"
"Stanley Park, Blackpool"
"Star Stile, Halstead"
Stellenbosch University 1
Stellenbosch University 2
"Strathfieldsaye, Bendigo"
"Subrata Roy Sahara Stadium, Pune"
"Sulabiya Ground, Kuwait City"
"Sunrise Sports Club, Harare"
"SuperSport Park, Centurion"
"Svanholm Park, Brondby"
Sydney Cricket Ground
"Sydney Cricket Ground, Sydney"
"Sydney Parade, Dublin"
Sydney Showground Stadium
"Sydney Showground Stadium, Sydney"
Sylhet International Cricket Stadium
"Sylhet International Cricket Stadium, Academy Ground, Sylhet"
"Sylhet International Cricket Stadium, Sylhet"
Sylhet Stadium
T I Murugappa Ground
"Tack-Tec Ground, Kuwait City"
Tafawa Balewa Square (TBS) Cricket Oval
"Tafawa Balewa Square Cricket Oval, Lagos"
"Takashinga Sports Club, Harare"
"Takashinga Sports Club, Highfield, Harare"
"Ted Summerton Reserve, Moe"
"Terdthai Cricket Ground, Bangkok"
"Thailand Cricket Ground, Bangkok"
"The Cooper Associates County Ground, Taunton"
"The Cricket Field, Sedbergh School, Sedbergh"
"The Gnoll, Neath"
"The Green, Comber"
"The Hills Cricket Club Ground, Dublin"
"The Hills, Milverton"
"The John Fretwell Sporting Complex, Nettleworth"
"The John Fretwell Sporting Complex, Sookholme"
"The Kent County Cricket Ground, Beckenham"
"The Lawn, Waringstown"
"The Padang, Singapore"
"The Rose Bowl (Nursery), Southampton"
"The Rose Bowl, Southampton"
"The Royal & Sun Alliance County Ground, Bristol"
"The Saffrons, Eastbourne"
"The Village, Malahide, Dublin"
"The Vineyard, Dublin"
"The Wanderers Stadium, Johannesburg"
"Tikkurila Cricket Ground, Vantaa"
"Titwood, Glasgow"
"Tolerance Oval, Abu Dhabi"
"Tony Ireland Stadium, Townsville"
"Toronto Cricket, Skating and Curling Club, Toronto"
"Traeger Park, Alice Springs"
"Trafalgar Road Ground, Southport"
"Trent Bridge, Nottingham"
"Tribhuvan University International Cricket Ground, Kirtipur"
"Turf City B Cricket Ground, Singapore"
"UKM Cricket Oval, Bandar Kinrara"
"UKM-YSD Cricket Oval, Bangi"
"Udayana Cricket Ground, Bali"
"United Cricket Club Ground, Windhoek"
"University Oval, Dunedin"
"University Oval, Hobart"
"University of Doha for Science and Technology, Doha"
"University of Lagos Cricket Oval, Lagos"
University of Otago Oval
"University of Tasmania Stadium, Launceston"
Uxbridge Cricket Club Ground
"Uxbridge Cricket Club Ground, Uxbridge"
VCA Ground
"VRA Cricket Ground, Amstelveen"
"VRA Ground, Amstelveen"
"Vanuatu Cricket Ground (Oval 2), Port Vila"
"Vanuatu Cricket Ground, Port Vila"
"Vidarbha C.A. Ground, Nagpur"
"Vidarbha Cricket Association Ground, Nagpur"
"Vidarbha Cricket Association Stadium, Jamtha"
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur"
"W.A.C.A. Ground, Perth"
"Wanderers Cricket Ground, Windhoek"
"Wanderers, Windhoek"
Wankhede Stadium
"Wankhede Stadium, Mumbai"
"Warner Park, Basseterre"
"Warner Park, Basseterre, St Kitts"
"Warner Park, Basseterre, St Kitts, Basseterre"
"Warner Park, St Kitts, Basseterre"
"Waverley Oval, Sydney"
"Welagedara Stadium, Kurunegala"
"Welbeck Abbey Cricket Ground, Welbeck"
"Welbeck Colliery Cricket Club Ground, Market Warsop"
"West End Park International Cricket Stadium, Doha"
West Mersea Cricket Club
"West Park Oval, Burnie"
"Western Australia Cricket Association Ground, Perth"
"Westpac Park, Hamilton"
Westpac Stadium
"Westpac Stadium, Wellington"
"White Hill Field, Sandys Parish, Hamilton"
"White Hills Oval, Bendigo"
"Willowmoore Park A Field, Benoni"
"Willowmoore Park B Field, Benoni"
"Willowmoore Park C Field, Benoni"
"Willowmoore Park, Benoni"
"Windsor Park, Roseau, Dominica"
"Windsor Park, Roseau, Dominica, Roseau"
"Wong Cricket Field, Woodley Park, Los Angeles"
"Woodbridge Road, Guildford"
"Woodley Cricket Field, Los Angeles"
"Woodvale Road, Eglinton"
"Wright Cricket Field, Woodley Park, Los Angeles"
"YMCA Cricket Club, Dublin"
"YSD-UKM Cricket Oval, Bangi"
"Yeonhui Cricket Ground, Incheon"
"York Cricket Club, York"
"Zahur Ahmed Chowdhury Stadium, Chattogram"
"Zahur Ahmed Chowdhury Stadium, Chittagong"
"Zahur Ahmed Chowdhury Stadium, Chittagong, Chattogram"
"Zayed Cricket Stadium, Abu Dhabi"
"Zhejiang University of Technology Cricket Field, Hangzhou"
"Zohur Ahmed Chowdhury Stadium, Chittagong"
